WKT,名前,説明
"POINT (139.7557108 35.5989808)",大井車両基地,出09:49
"POINT (139.7671248 35.6812362)",東京駅,着09:59 出10:15
"POINT (139.7387597 35.6284713)",品川駅,着10:21 出10:22
"POINT (139.6175553 35.5076585)",新横浜駅,着10:33 出10:34
"POINT (139.1553932 35.2564449)",小田原駅,着10:49 出10:56
"POINT (139.0778841 35.1038422)",熱海駅,着11:03 出11:04
"POINT (138.9111261 35.1262994)",三島駅,着11:11 出11:16
"POINT (138.663603 35.141965)",新富士駅,着11:25 出11:30
"POINT (138.3889005 34.972187)",静岡駅,着11:40 出11:44
"POINT (138.0149326 34.7697465)",掛川駅,着11:58 出12:00
"POINT (137.7344697 34.704171)",浜松駅,着12:12 出12:14
"POINT (137.3819213 34.7629201)",豊橋駅,着12:26 出12:31
"POINT (137.061997 34.970028)",三河安城駅,着12:43 出12:46
"POINT (136.8815369 35.170915)",名古屋駅,着12:56 出12:59
"POINT (136.685295 35.315841)",岐阜羽島駅,着13:07 出13:13
"POINT (136.2898448 35.3147704)",米原駅,着13:27 出13:35
"POINT (135.7587667 34.985849)",京都駅,着13:55 出13:58
"POINT (135.5002547 34.7334658)",新大阪駅,着14:12 出14:36
"POINT (135.5788918 34.7833697)",鳥飼車両基地,着14:42 出16:55
"POINT (135.5002547 34.7334658)",新大阪駅,着17:01 出17:27
"POINT (135.1954675 34.7062884)",新神戸駅,着17:39 出17:40
"POINT (134.9597629 34.6662701)",西明石駅,着17:51 出17:53
"POINT (134.6905326 34.8267967)",姫路駅,着18:03 出18:09
"POINT (134.474118 34.817956)",相生駅,着18:16 出18:19
"POINT (133.9177335 34.6661212)",岡山駅,着18:34 出18:35
"POINT (133.6787011 34.5649655)",新倉敷駅,着18:45 出18:50
"POINT (133.3625422 34.4889443)",福山駅,着19:02 出19:03
"POINT (133.1903 34.430112)",新尾道駅,着19:11 出19:12
"POINT (133.0831972 34.4007078)",三原駅,着19:18 出19:19
"POINT (132.759701 34.3893015)",東広島駅,着19:30 出19:31
"POINT (132.4753786 34.397667)",広島駅,着19:42 出19:43
"POINT (132.149373 34.1646553)",新岩国駅,着19:57 出19:58
"POINT (131.8029339 34.0511516)",徳山駅,着20:13 出20:15
"POINT (131.3963755 34.093533)",新山口駅,着20:31 出20:32
"POINT (131.160592 34.054049)",厚狭駅,着20:40 出20:42
"POINT (130.949042 34.0069198)",新下関駅,着20:50 出20:51
"POINT (130.8825758 33.8869679)",小倉駅,着21:01 出21:02
"POINT (130.4207274 33.5897275)",博多駅,着21:18 出21:27
"POINT (130.4407184 33.5297330)",博多総合基地,着21:36